Name,Location,Website,contact,mapLocation
Hotel Highlander,"Hotel Highlander, Thamel Bagmati, 44600",highlander-inn.com,985-1149890,P875+XW काठमाडौँ
Hotel Timila,"tumbahal-12,Hotel Timila,Patan, ललितपुर 44600",hoteltimila.com,986-9832363,M8FG+RF ललितपुर
Hotel patan,"M8CG+VVX, ललितपुर 44600",तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १५:००चेक आउट गर्ने समय: ११:००,M8FG+RF ललितपुर
Traditional Stay - A Boutique Hotel,"Swotha Rd, ललितपुर 44600",traditionalstay.com,01-5554628,M8GG+43 ललितपुर
United Business Hotel,"United World Trade Centre, त्रिपुरा मार्ग, काठमाडौँ 00977",यहाँ अवस्थित छ: युनाईटेड वर्ल्ड ट्रेड सेन्टर,01-5917209,M8V7+J9 काठमाडौँ
Hotel Barahi Kathmandu,"त्रिदेवी सडक, काठमाडौँ 44600",barahi.com,985-1355862,P878+C2 काठमाडौँ
Hotel de Universal,"Ram Devi Bhawan, Thahity Chowk, काठमाडौँ 44600",यहाँ अवस्थित छ: Ram Devi Bhawan,hoteldeuniversal.com,01-5348004
Indreni Suites,"Indreni Complex, काठमाडौँ 44600",indrenisuites.com,01-5903185,M8QJ+FR काठमाडौँ
होटल नेपालय,"Maitripura Mahavihara, ठमेल मार्ग, काठमाडौँ 21292",hotelnepalaya.com,01-5369141,P866+QG काठमाडौँ
होटल थाेरोङ्गला ठमेल,"Narshing Chwok, काठमाडौँ 44600",यहाँ अवस्थित छ: 327 Thamel Hotel,hotelthorongla.com,980-4959970
Kathmandu Business Hotel,काठमाडौँ 44600,kbhthamel.com,01-5919384,P877+34 काठमाडौँ
Durbar Restro Hotel & Party Venue,"M859+569, Basuki marg, ललितपुर 44700",01-5910889,तपाईंको फोनमा पठाउनुहोस्,P877+34 काठमाडौँ
Lumbini Heritage Home & Roof Top Cafe,"Nagbahal-16, 5 minute walking distance from Patan Durbar Square, ललितपुर 44700",984-0466686,M8GF+FJ ललितपुर,तपाईंको फोनमा पठाउनुहोस्
"Hotel Thrive, A Tropical Courtyard","Chettrapati, काठमाडौँ 44600",hotelthrive.com,01-5350419,P864+XX काठमाडौँ
Shangrila Blu Hotel,"U D Lane, Maitri Marg 443, ललितपुर 44600",01-5446604,M8M7+3R ललितपुर,तपाईंको फोनमा पठाउनुहोस्
