Name,Location,Website,contact,mapLocation
Capital Boutique Hotel,काठमाडौँ 44600,capitalboutiquehotel.com,01-5904444,P867+P4 काठमाडौँ
पोताला गेस्ट हाउस,"जे पी मार्ग, काठमाडौँ 44600",potalaguesthouse.com,01-5320467,P866+W7 काठमाडौँ
र्‍याडिसन होटल,"Ward 2, काठमाडौँ 44600",radissonhotels.com,01-4511818,P89C+XG काठमाडौँ
काठमाडौं मेरियोट होटेल,"मनकामना मार्ग, काठमाडौँ 44600",marriott.com,01-5970300,P87F+4R काठमाडौँ
नेपाली घर होटल,"अमृत मार्ग 26, काठमाडौँ 44600",nepaligharhotel.com,01-4526949,P887+J5 काठमाडौँ
होटेल मुनलाइट,"पकनाजोल मार्ग, काठमाडौँ 44600",यहाँ अवस्थित छ: 327 Thamel Hotel,hotelmoonlight.com,01-4980636
Hotel Amarawati,काठमाडौँ 44600,hotelamarawati.com,01-4584463,P83X+WC काठमाडौँ
Lemon Tree Hotel,"P885+XP3, House No. 94 Paknajol Marg, Shree Ratna Marg, काठमाडौँ 44600",01-4701505,तपाईंको फोनमा पठाउनुहोस्,चेक इन गर्ने समय: १४:००चेक आउट गर्ने समय: १२:००
Hotel Crowne Imperial,काठमाडौँ 44614,crowneimperial.com,01-5234725,M7VR+WM काठमाडौँ
Aloft Kathmandu Thamel,"Chhaya Devi Complex, अमृत मार्ग, काठमाडौँ 44600",marriott.com,01-5252000,P887+87 काठमाडौँ
होटल ब्यागप्याकर्स ईन,"अमृत मार्ग, काठमाडौँ 19190",hotelbackpackers.com.np,982-6842053,P877+9F काठमाडौँ
सांग्रिला बुटिक होटेल,"bahadur bhawan, काठमाडौँ 19190",shangri-laboutiquehotel.com,01-5350188,P877+99 काठमाडौँ
काठमाडाैँ सिटी होटल,"Thamel, Ward 29 Bhagwatisthan Near to the A One Business Complex, काठमाडौँ 44600",01-4521954,P886+WP काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Dusit Princess Kathmandu,काठमाडौँ 44600,dusit.com,01-5970265,P89C+Q7 काठमाडौँ
होटल ग्रीन अर्किड,"पकनाजोल मार्ग, काठमाडौँ 44600",hotelgreenorchid.com,01-4700488,P885+WV काठमाडौँ
काठमाडाैँ होटल यम्बु,"Lekhnath Marg, काठमाडौँ 44600",hotelyambu.com,984-1326314,P896+3G काठमाडौँ
Divine Kathmandu Hotel,काठमाडौँ 44600,divinekathmanduhotel.com,985-1068572,P885+27 काठमाडौँ
Family Peace House (P) Ltd.,"Thamel, काठमाडौँ",familypeacehouse.com,01-4981138,P895+78 काठमाडौँ
तीन भाइ अपार्टमेन्ट,"Rani Devi Marg, काठमाडौँ 44600",apartmentrentinnepal.com,01-4002084,P8GC+JQ काठमाडौँ
न्यु होटल पान्डा,"ठमेल मार्ग, काठमाडौँ 44600",01-4249571,P885+F4 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Hotel Jampa,"Bhagawati Marg, काठमाडौँ 44600",hoteljampa.com,01-4701382,P886+G7 काठमाडौँ
Dom Himalaya Hotel,"पकनाजोल मार्ग, काठमाडौँ 44600",यहाँ अवस्थित छ: अलोबार१००० होस्टल,domhimalaya.com,01-5363554
काठमाडाैँ सुइट होम,"ठमेल मार्ग 16, काठमाडौँ 44600",kathmandusuitehome.com,980-1026351,P884+2Q काठमाडौँ
Hotel Elegant Kathmandu Inn,"ठमेल मार्ग, काठमाडौँ 44600",hotelselegant.com,01-4511605,P896+4G काठमाडौँ
रोयल पेङ्गुइन,"P886+5W4, काठमाडौँ 44600",royalpenguinhotel.com,01-4215013,तपाईंको फोनमा पठाउनुहोस्
Hotel Grand Villa,"M7XV+82G, Near Soaltee Crown Plaza, रेडक्रस सडक, 44614",01-4277819,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Mahabir Palace Kathmandu,"रेडक्रस सडक, काठमाडौँ 44600",mahabirpalace.com,01-5312252,M7XR+8H काठमाडौँ
Hotel BnB Mhepi,"Mhepi Marg, काठमाडौँ 44600",hotelbnbmhepi.com,984-5656339,P8G6+P3 काठमाडौँ
Samsara Boutique Hotel,"Thamel, Kathmandu, kathamndu 00977",samsaraboutiquehotel.com,01-4517711,P886+RC काठमाडौँ
ओएसीस होटेल,"KMC, त्रिदेवी सडक 29, काठमाडौँ 44600",oasiskathmanduhotel.com,01-4544125,P887+2M काठमाडौँ
Thamel Hotel & Spa,"केशर महल मार्ग, काठमाडौँ 44600",thamelhotel.com.np,01-5912395,P887+4M काठमाडौँ
