Name,Location,Website,contact,mapLocation
Home's Guest House(Sallaghari),भक्तपुर 44800,यहाँ अवस्थित छ: होटल ग्रिनल्यान्ड,981-1466658,MCF6+5J भक्तपुर
Hotel Malla Inn,"Milan Tole Rd, चाँगुनारायण 44800",01-6619750,MCCG+QM चाँगुनारायण,तपाईंको फोनमा पठाउनुहोस्
Doleshwor Village Resort,"JCVP+669, Doleshwor Mahadev Rd, सुर्यविनायक",01-5157222,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
OYO 276 White Orchid Resort,"Suryabinayak, भक्तपुर 44800",oyorooms.com,MC5X+MW भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Moonlight Guesthouse,भक्तपुर 44800,984-1395047,MCCJ+J2 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
OYO 241 Nytapola View Guest House,"Taumadi, भक्तपुर 44800",oyorooms.com,01-6611344,MCCH+28 भक्तपुर
Homes Guest House(ittachen),"Durbar Square, भक्तपुर 44800",970-2433755,MCFF+9M भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
The Muglan Hotel & Restaurant,"MCFH+4HM, Darbar Square, भक्तपुर 44800",themuglan.com,985-1347746,तपाईंको फोनमा पठाउनुहोस्
द यती गेस्ट हाउस,"Rammandir Rd 12, भक्तपुर 44800",01-6615434,MCCH+28 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
फार्म हाउस रेस्टुरेन्ट,"अरनिको राजमार्ग, सुर्यविनायक 44800",oyorooms.com,MC7V+F4 सुर्यविनायक,तपाईंको फोनमा पठाउनुहोस्
Bansbari Hotel & Resort,"Way to Bansbari ward office, भक्तपुर",976-6891440,MFP5+JJ भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
प्यागोडा गेस्ट हाउस,"Taumadhi Square, भक्तपुर 44800",pagodaguesthouse.com,01-6613248,MCCH+JM भक्तपुर
Jhigu Chhen Home Stay and Cafe,"MCFP+F9H, भक्तपुर 44800",यहाँ अवस्थित छ: दत्तात्रय मन्दिर,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
EAGLE NEST HOTEL,"Balambutol 4, चाँगुनारायण 44800",984-1480637,PC8H+GG चाँगुनारायण,तपाईंको फोनमा पठाउनुहोस्
OYO 275 Sunshine Garden Resort,सुर्यविनायक 44800,oyorooms.com,MC6V+MX सुर्यविनायक,तपाईंको फोनमा पठाउनुहोस्
Hostel Swastik,"Swastik Ln, भक्तपुर 44800",यहाँ अवस्थित छ: Bekhal Pond,981-8208050,MCGM+6M भक्तपुर
हिमालय गेस्ट हाउस,"Gahiti, Rammandir Rd, भक्तपुर 44800",01-6617354,MCCH+5G भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Bhintuna,"Byasi Gate, 10, नगरकोट सडक, भक्तपुर 44800",01-6613364,MCFG+7H भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
OYO 649 Hotel Terracotta,"Tuchhimala Rd, भक्तपुर 44800",oyorooms.com,MCFJ+8F भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
अरनिको भिलेज रिसोर्ट,"Araniko Highway Basghari, भक्तपुर 44806",01-6540321,MF43+XJ भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
डोनड्रब अतिथि गृह,"P9F8+GGJ, Road, काठमाडौँ 44600",01-4917533,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Bhaktapur Home Pvt Ltd,"Kwachhen 05, भक्तपुर 44800",985-1137429,MCFG+GV भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Luniva Restaurant & Guest House,"MCFJ+WH4, Bholachhen - Yachhen Rd, भक्तपुर 44800",986-4995262,तपाईंको फोनमा पठाउनुहोस्,तपाईंको फोनमा पठाउनुहोस्
De´ Cafe Beyond Guest House,"2, Itachhen, भक्तपुर 44800",cafe-beyond.bedsandhotels.com,01-6620622,MCFF+2X भक्तपुर
